model,pooling,layer,anisotropy,top1,top3,top5,top1_frac,top3_frac,top5_frac,skipped
llama,last_token_hs,12,0.9391195178031921,0.20322348177433014,0.24333298206329346,0.2641869783401489,0.21639788964211362,0.25910757624599584,0.2813134785635598,False
llama,last_token_hs,13,0.9410396814346313,0.34810397028923035,0.38046687841415405,0.40074896812438965,0.3699142312028115,0.4043048193612045,0.42585767213709935,False
llama,last_token_hs,14,0.8943139314651489,0.21933117508888245,0.24704481661319733,0.2700016498565674,0.24525076415789873,0.2762394813736887,0.30190925172576183,False
llama,last_token_hs,15,0.8715311288833618,0.21205390989780426,0.23863311111927032,0.25840601325035095,0.2433119172340931,0.2738090507736837,0.2964965962620639,False
llama,last_token_hs,16,0.8519158959388733,0.21831989288330078,0.24087244272232056,0.26031550765037537,0.2562693030192803,0.2827420451602932,0.3055647968201001,False
llama,last_token_hs,17,0.8441357016563416,0.2375028431415558,0.2591819167137146,0.27694934606552124,0.28135623534881155,0.3070382122271981,0.32808628461288664,False
llama,last_token_hs,18,0.8200647830963135,0.20974667370319366,0.24207960069179535,0.2633778750896454,0.25576841979636594,0.2951957036586511,0.32116715717898675,False
llama,last_token_hs,19,0.8032366037368774,0.18123841285705566,0.22995972633361816,0.2507270872592926,0.22563515160275907,0.28629139317578695,0.3121459929650134,False
llama,last_token_hs,20,0.792827308177948,0.16367189586162567,0.22848351299762726,0.2477286010980606,0.20644079003506013,0.2881882481100723,0.3124622456148528,False
llama,last_token_hs,21,0.7681591510772705,0.1076846644282341,0.17648224532604218,0.1967916190624237,0.14018535648142258,0.22974698026905302,0.2561859984177004,False
llama,last_token_hs,22,0.7455794811248779,0.08207103610038757,0.17647266387939453,0.19531694054603577,0.11007684382161988,0.23669195350326028,0.2619666252769662,False
llama,last_token_hs,23,0.7443603277206421,0.10426101088523865,0.18630988895893097,0.2055407613515854,0.14006793081585042,0.2502952965393031,0.2761307309068797,False
llama,last_token_hs,24,0.7206441164016724,0.11737782508134842,0.1792517602443695,0.19848591089248657,0.16287904446849658,0.24873825535329594,0.27542847624090583,False
llama,last_token_hs,25,0.7028710842132568,0.13313566148281097,0.18489257991313934,0.20429328083992004,0.1894168994472627,0.2630533309249658,0.2906554067003499,False
llama,last_token_hs,26,0.6999369263648987,0.14987054467201233,0.19150009751319885,0.21118061244487762,0.21412007143323683,0.27359622031623454,0.3017137751849124,False
llama,last_token_hs,27,0.7109485864639282,0.199886292219162,0.2360508143901825,0.25130629539489746,0.28115435634149577,0.3320223415370123,0.3534802659146269,False
llama,last_token_hs,28,0.7111968398094177,0.2059001475572586,0.23852196335792542,0.2525661289691925,0.28951218007722657,0.3353810787767886,0.35512830602126083,False
llama,last_token_hs,29,0.6841540932655334,0.19525118172168732,0.22182752192020416,0.2324644923210144,0.2853906505035066,0.32423619781531965,0.33978382152394787,False
llama,last_token_hs,30,0.6788432598114014,0.20841164886951447,0.22858871519565582,0.23725347220897675,0.3070099700590916,0.33673268739408735,0.349496689817457,False
llama,last_token_hs,31,0.6514765620231628,0.12216056883335114,0.13372309505939484,0.14333476126194,0.18751337493091239,0.20526155943986268,0.22001522329032586,False
llama,last_token_hs,32,0.5745437741279602,0.009151945821940899,0.025988096371293068,0.04116293787956238,0.0159290662157669,0.045232578511076336,0.07164456344869334,False
llama,mean_pool_hs,0,0.9483691453933716,0.06410959362983704,0.16499894857406616,0.23079794645309448,0.06759983065797147,0.1739817763742479,0.2433629853672247,False
llama,mean_pool_hs,1,0.9939334392547607,0.16064506769180298,0.25723397731781006,0.29952049255371094,0.16162557908530847,0.2588040276727997,0.3013486423983157,False
llama,mean_pool_hs,2,0.999981164932251,0.37218204140663147,0.9880014061927795,0.9967448115348816,0.37218905161263405,0.988020015616711,0.9967635856445469,False
llama,mean_pool_hs,3,0.9999533891677856,0.3738299310207367,0.9895591139793396,0.9977771043777466,0.3738473563571376,0.9896052403031538,0.9978236137667874,False
llama,mean_pool_hs,4,0.999888002872467,0.3737856149673462,0.9898843169212341,0.997449517250061,0.3738274825715871,0.989995193539182,0.9975612412436186,False
llama,mean_pool_hs,5,0.9997583031654358,0.37517857551574707,0.9897233843803406,0.9957054853439331,0.37526927691208595,0.9899626552204441,0.9959462023884467,False
llama,mean_pool_hs,6,0.9996498823165894,0.3740021288394928,0.9884225130081177,0.9934900999069214,0.37413311946056554,0.9887686984142354,0.9938380601862391,False
llama,mean_pool_hs,7,0.9995055198669434,0.3721035122871399,0.9871187806129456,0.9915043115615845,0.37228760110967196,0.9876071327193403,0.9919948332987455,False
llama,mean_pool_hs,8,0.9993702173233032,0.3705965578556061,0.9850252866744995,0.9896669387817383,0.37083010022872787,0.9856460294692142,0.9902906066507025,False
llama,mean_pool_hs,9,0.9992703199386597,0.3698440194129944,0.9824674129486084,0.9879242777824402,0.37011408428071524,0.9831848233107907,0.9886456728176256,False
llama,mean_pool_hs,10,0.999179482460022,0.36785203218460083,0.9799340963363647,0.9861264824867249,0.368154109088523,0.980738809731887,0.9869362810161393,False
llama,mean_pool_hs,11,0.9991250038146973,0.3671801686286926,0.9795281887054443,0.9851800203323364,0.3675017312416212,0.9803860227354619,0.986042804024403,False
llama,mean_pool_hs,12,0.9991377592086792,0.3664775490760803,0.9784810543060303,0.98331218957901,0.36679381366422575,0.9793254686730996,0.9841607731428316,False
llama,mean_pool_hs,13,0.9989417791366577,0.36245599389076233,0.9701982736587524,0.9813182353973389,0.3628399587051183,0.9712260453229346,0.982357786902706,False
llama,mean_pool_hs,14,0.9988102316856384,0.36260986328125,0.9686073064804077,0.9783326983451843,0.3630417989103824,0.9697610975067217,0.9794980741177478,False
llama,mean_pool_hs,15,0.9987107515335083,0.3613469898700714,0.9645537734031677,0.9782065749168396,0.3618134573150709,0.9657989281902764,0.9794693542798205,False
llama,mean_pool_hs,16,0.9982553720474243,0.35656481981277466,0.9570600986480713,0.9768126606941223,0.3571879799469141,0.958732730568871,0.9785198137132757,False
llama,mean_pool_hs,17,0.9978980422019958,0.3491817116737366,0.9403195381164551,0.9724352955818176,0.3499172229090863,0.9423002133980681,0.9744836190238522,False
llama,mean_pool_hs,18,0.9973752498626709,0.34855717420578003,0.9262517690658569,0.9679953455924988,0.34947445733566485,0.9286893465557653,0.9705427778820284,False
llama,mean_pool_hs,19,0.9970293641090393,0.3411394953727722,0.9028620719909668,0.9635560512542725,0.3421559160171974,0.9055521376722723,0.9664269538493692,False
