model,pooling,layer,standardised,skipped,point,ci_lo,ci_hi,rho_mb,rho_ma,rho_ba,n_boot_valid
llama,last_token_hs,4,True,False,0.056987721143192956,-0.010650142095983028,0.14814305342733855,0.13676234366900614,0.20489100869123708,0.42048917922079576,1000
llama,last_token_hs,5,True,False,0.09083017410971547,0.018744059931486846,0.17445996105670927,0.1722179665749069,0.2183068952187174,0.42048917922079576,1000
llama,last_token_hs,6,True,False,0.11993780942042886,0.03477324107661844,0.20929157957434652,0.20282456589970813,0.23053237633662674,0.42048917922079576,1000
llama,last_token_hs,7,True,False,0.1309346444222753,0.04803951419889927,0.21377658396959304,0.22078209158548928,0.25163045526600636,0.42048917922079576,1000
llama,last_token_hs,8,True,False,0.17583944482512734,0.07849958427250385,0.2619152769446373,0.27882824519980653,0.30132706754701066,0.42048917922079576,1000
llama,last_token_hs,9,True,False,0.24385949862739972,0.12852848768234254,0.3261152885854244,0.37123093998501977,0.4007826358419513,0.42048917922079576,1000
llama,last_token_hs,10,True,False,0.2613622127849419,0.14614268839359285,0.331505373865366,0.3934504098000826,0.42529448246523766,0.42048917922079576,1000
llama,last_token_hs,11,True,False,0.2522748400559457,0.13246058560907842,0.3214994773268699,0.37904759184481135,0.4033498978422616,0.42048917922079576,1000
llama,last_token_hs,12,True,False,0.2978235269389285,0.16986268907785415,0.37398387864232063,0.42556301975608984,0.43272981050430065,0.42048917922079576,1000
llama,last_token_hs,13,True,False,0.3491040486468608,0.21414935328066348,0.4256937526166439,0.47140634916546914,0.4474268415741675,0.42048917922079576,1000
llama,last_token_hs,14,True,False,0.3937286194707904,0.2541372090578079,0.4828562818467617,0.5122034521324834,0.4667957445362585,0.42048917922079576,1000
llama,last_token_hs,15,True,False,0.39999442533153395,0.2506799206137657,0.5157596185803414,0.5214693074942849,0.48572439512681265,0.42048917922079576,1000
llama,last_token_hs,16,True,False,0.37976553440478994,0.23511097058653832,0.48820854127407076,0.5097163136748654,0.5048747688502673,0.42048917922079576,1000
llama,last_token_hs,17,True,False,0.3591011417017524,0.2171117067337036,0.46900329291820525,0.49514244708506694,0.5119318404043723,0.42048917922079576,1000
llama,last_token_hs,18,True,False,0.3382004356828009,0.19686691574752332,0.44154040738940237,0.4758140669961636,0.4993057071198157,0.42048917922079576,1000
llama,last_token_hs,19,True,False,0.30726256689035536,0.15933968909084797,0.4140724211931229,0.4456507595575126,0.47721554535600874,0.42048917922079576,1000
llama,last_token_hs,20,True,False,0.29059057346948425,0.13710567019879819,0.40649222433567045,0.42818745993063334,0.4623309636592989,0.42048917922079576,1000
llama,last_token_hs,21,True,False,0.2752312644472483,0.12745816819369793,0.3835801586508751,0.41515832282034987,0.46001772795555873,0.42048917922079576,1000
llama,last_token_hs,22,True,False,0.2587908354327921,0.11689770575612783,0.3539505809545517,0.4050055681319705,0.47042425862545056,0.42048917922079576,1000
llama,last_token_hs,23,True,False,0.2610264813457206,0.1300097819417715,0.36103055626153946,0.4011280062364134,0.4513727633018643,0.42048917922079576,1000
llama,last_token_hs,24,True,False,0.2550420288956185,0.09847534634172916,0.34571089074015615,0.4160057840496101,0.5189213878734019,0.42048917922079576,1000
llama,last_token_hs,25,True,False,0.24566242164343122,0.08177609201520682,0.334681099653244,0.41277261492489387,0.5332220211396703,0.42048917922079576,1000
llama,last_token_hs,26,True,False,0.24818036660701714,0.09149732757359744,0.3368567503988743,0.41112488329916935,0.5204763328330437,0.42048917922079576,1000
llama,last_token_hs,27,True,False,0.24312682071708547,0.08812418710440398,0.3297719344496727,0.40507518806780646,0.5130474481752261,0.42048917922079576,1000
llama,last_token_hs,28,True,False,0.2418566206896971,0.09068988934159279,0.32349729537963867,0.4018157475026743,0.5052373651678416,0.42048917922079576,1000
llama,last_token_hs,29,True,False,0.24124222128970352,0.08873070534318686,0.32303277552127835,0.3995956622914038,0.4993092318101322,0.42048917922079576,1000
llama,last_token_hs,30,True,False,0.2385097988755515,0.09104559365659952,0.3199072495102882,0.3946742220973445,0.48998109560175224,0.42048917922079576,1000
llama,last_token_hs,31,True,False,0.23404598590072923,0.08990051317960024,0.31277828961610793,0.38867785553883694,0.48182773249220623,0.42048917922079576,1000
llama,last_token_hs,32,True,False,0.23038535804847576,0.09465606417506933,0.31341971307992933,0.3798606379238827,0.4626800564086492,0.42048917922079576,1000
llama,mean_pool_hs,0,True,False,0.11007013559699567,0.04877073215320707,0.18128873258829115,0.17945167714056548,0.19376973266182418,0.42048917922079576,1000
