model,pooling,layer,standardised,condition,mean_cos,ci_lo,ci_hi
deepseek,mean_pool_hs,10,True,SI,0.04771062731742859,0.05059022456407547,0.050642671260759935
deepseek,mean_pool_hs,11,False,DI,0.9978761076927185,0.9974114792395125,0.998153925543795
deepseek,mean_pool_hs,11,False,II,0.9967605471611023,0.9962820997632031,0.9970557290223844
deepseek,mean_pool_hs,11,False,SI,0.9968180060386658,0.9963498459964593,0.9971225122984592
deepseek,mean_pool_hs,11,True,DI,0.12339198589324951,0.1138841062838923,0.11857378115868138
deepseek,mean_pool_hs,11,True,II,0.01964692771434784,0.026006784290075302,0.02605727810280624
deepseek,mean_pool_hs,11,True,SI,0.05922389402985573,0.06022480130195618,0.06025226767784356
deepseek,mean_pool_hs,12,False,DI,0.9975855946540833,0.9971320653699455,0.9978650777448449
deepseek,mean_pool_hs,12,False,II,0.9963365793228149,0.9958325822947804,0.9966342817198363
deepseek,mean_pool_hs,12,False,SI,0.9964701533317566,0.9959655096650654,0.9968118889737491
deepseek,mean_pool_hs,12,True,DI,0.13122814893722534,0.11779134723450133,0.12599226403399483
deepseek,mean_pool_hs,12,True,II,0.022111261263489723,0.02870580367743969,0.028775134735910424
deepseek,mean_pool_hs,12,True,SI,0.06676335632801056,0.06636729836463928,0.06637429428806574
deepseek,mean_pool_hs,13,False,DI,0.9972200393676758,0.9967591457328693,0.9975166977635169
deepseek,mean_pool_hs,13,False,II,0.9957971572875977,0.9952565833274439,0.9961185440751049
deepseek,mean_pool_hs,13,False,SI,0.9960135817527771,0.9955148341185253,0.9963622110870453
deepseek,mean_pool_hs,13,True,DI,0.12802161276340485,0.11381451054867064,0.12718148015936862
deepseek,mean_pool_hs,13,True,II,0.017830614000558853,0.025100789964199066,0.025179759503797212
deepseek,mean_pool_hs,13,True,SI,0.06275341659784317,0.06149531155824661,0.06150838912270127
deepseek,mean_pool_hs,14,False,DI,0.9967125058174133,0.9962218484101132,0.997066532761046
deepseek,mean_pool_hs,14,False,II,0.9949662685394287,0.9942609102602262,0.9953969473169454
deepseek,mean_pool_hs,14,False,SI,0.9954215884208679,0.9949179886759559,0.9958040470357519
deepseek,mean_pool_hs,14,True,DI,0.1288367360830307,0.11197620645897441,0.12712894264702698
deepseek,mean_pool_hs,14,True,II,0.016861148178577423,0.02571077086031437,0.025775002109940635
deepseek,mean_pool_hs,14,True,SI,0.06315218657255173,0.06311482191085815,0.06312983884976986
deepseek,mean_pool_hs,15,False,DI,0.9962226748466492,0.9957216337367857,0.9965895902984305
deepseek,mean_pool_hs,15,False,II,0.9940400123596191,0.9931778228924529,0.9945592517837141
deepseek,mean_pool_hs,15,False,SI,0.9946995377540588,0.9940321990488686,0.9951497726433979
deepseek,mean_pool_hs,15,True,DI,0.1271556168794632,0.11398830272535113,0.12390623460091581
deepseek,mean_pool_hs,15,True,II,0.014595603570342064,0.024234993383288383,0.024292499989938023
deepseek,mean_pool_hs,15,True,SI,0.05857279524207115,0.05965184420347214,0.05965637581679534
deepseek,mean_pool_hs,16,False,DI,0.9951283931732178,0.9945650525018358,0.9955627141069169
deepseek,mean_pool_hs,16,False,II,0.9922913908958435,0.9911846976163808,0.9929622806219484
deepseek,mean_pool_hs,16,False,SI,0.9932016134262085,0.9922717889712276,0.9938052152285499
deepseek,mean_pool_hs,16,True,DI,0.12373003363609314,0.11225654930322654,0.11979729291071167
deepseek,mean_pool_hs,16,True,II,0.011879836209118366,0.022071437910199165,0.022125120711800433
deepseek,mean_pool_hs,16,True,SI,0.05189022421836853,0.0538097508251667,0.053810407939167366
deepseek,mean_pool_hs,17,False,DI,0.9941468834877014,0.9934854909809299,0.9946412921681669
deepseek,mean_pool_hs,17,False,II,0.9904734492301941,0.9891458430543364,0.9912477240804678
deepseek,mean_pool_hs,17,False,SI,0.9917154312133789,0.990648474992254,0.992420926676342
deepseek,mean_pool_hs,17,True,DI,0.1134965643286705,0.10514811426406853,0.1057284364879909
deepseek,mean_pool_hs,17,True,II,0.009633805602788925,0.02030850760638714,0.020345527332886436
deepseek,mean_pool_hs,17,True,SI,0.04233316332101822,0.04373430088162422,0.04377214582533095
deepseek,mean_pool_hs,18,False,DI,0.9928698539733887,0.9920072121247715,0.9934553439619042
deepseek,mean_pool_hs,18,False,II,0.9881123304367065,0.9862650437647904,0.9891257690808705
deepseek,mean_pool_hs,18,False,SI,0.9894890189170837,0.9879881584068232,0.9904462906792865
deepseek,mean_pool_hs,18,True,DI,0.11707497388124466,0.10730302333852472,0.10885111489712247
